infraction_description,standard_fine_amount,total_tickets,first_seen_date,last_seen_date
PARK-SIGNED HWY-PROHIBIT DY/TM,50.00,6385964,2008-01-01,2024-01-31
PARK ON PRIVATE PROPERTY,30.00,5288919,2008-01-01,2024-01-31
PARK PROHIBITED TIME NO PERMIT,30.00,5243080,2008-01-01,2024-01-31
PARK MACHINE-REQD FEE NOT PAID,30.00,3274200,2008-01-02,2024-01-31
PARK FAIL TO DISPLAY RECEIPT,30.00,2792617,2008-01-02,2022-08-01
STOP HWY PROHIBITED TIME/DAY,60.00,1999796,2008-01-01,2024-01-31
PARK - LONGER THAN 3 HOURS,15.00,1685728,2008-01-01,2024-01-31
STAND VEH.-PROHIBIT TIME/DAY,60.00,1289327,2008-01-01,2024-01-31
PARK-SIGNED HWY-EXC PERMT TIME,40.00,1074048,2008-01-02,2024-01-31
PARK-VEH. W/O VALID ONT PLATE,40.00,520423,2014-01-23,2024-01-30
PARK-WITHIN 3M OF FIRE HYDRANT,100.00,512737,2008-01-01,2024-01-31
STOP-SIGNED HIGHWAY-RUSH HOUR,150.00,493626,2014-01-23,2024-01-31
PARK-N.YORK 2AM-6AM DEC1-MAR31,40.00,430964,2008-01-02,2024-01-31
PARKING MACH-NOT USED/NO FEE,30.00,375840,2008-01-01,2024-01-31
STOP ON/OVER SIDEWALK/FOOTPATH,60.00,293715,2008-01-01,2024-01-31
STAND SIGNED TRANSIT STOP,60.00,293693,2008-01-01,2024-01-31
PARK IN A FIRE ROUTE,250.00,281008,2008-03-14,2024-01-31
PARK ON MUNICIPAL PROPERTY,30.00,264239,2008-01-01,2024-01-31
PARK IN PUBLIC LANE,30.00,244269,2008-01-01,2024-01-31
PARK 9M OF INTERSCTING HIGHWAY,40.00,195264,2008-01-01,2024-01-31
PARK - ON BOULEVARD,50.00,167256,2008-01-01,2024-01-31
PARK COMMERC LOAD ZONE NOT LDG,40.00,135963,2014-01-23,2024-01-31
PARK-FAIL TO DISPLAY PERMIT,30.00,102750,2008-01-02,2024-01-31
PARK-PASSENGER/FREIGHT LOADING,40.00,100504,2008-01-02,2018-01-26
FAIL TO PARK/STOP PARA TO CURB,15.00,84615,2008-01-01,2024-01-31
STOP VEH OTR THN BCYCL-BYCL LN,150.00,78757,2011-10-31,2024-01-31
PARK IN PARK NOT IN DESIG AREA,100.00,75236,2008-01-07,2024-01-23
PARK-OBSTRUCT (DRWAY/LANEWAY),50.00,70642,2008-01-01,2024-01-31
STND ONSTRT ACCESSIBLE NO PRMT,450.00,62359,2008-04-25,2024-01-31
PARK FAIL TO DEPOSIT FEE METER,30.00,61472,2008-01-02,2024-01-31
PARK CONTRARY POSTED CONDITION,100.00,60356,2008-01-06,2024-01-31
PARK IN ACCESSIBLE NO PERMIT,450.00,57515,2008-04-25,2024-01-31
FAIL TO PARK/STOP PARALL. RGHT,30.00,55541,2008-01-01,2024-01-31
PARK - NOT WITHIN PERIOD,30.00,52469,2008-01-01,2024-01-31
STAND NON-TAXI IN SIGNED STAND,60.00,47317,2014-01-23,2024-01-31
PARK ONSTRT ACCESSIBLE NO PRMT,450.00,38711,2008-04-25,2024-01-31
STAND SIGNED TAXICAB STAND,30.00,34916,2008-01-01,2021-08-14
PARK NON-MTRCYCLE IN MTRCYC SP,40.00,31909,2008-10-22,2024-01-31
STOP-ROAD SIDE-STOP/PARK VEH.,150.00,31844,2008-01-01,2024-01-31
PARK - BETWEEN ROAD & SIDEWALK,50.00,24344,2008-01-01,2024-01-31
PARK/STAND UNAUTH VEH. CAR SHR,60.00,22491,2010-08-19,2024-01-31
STAND VEH.-PSGR LD ZN LD/UNLD,60.00,20413,2014-10-07,2024-01-31
STOP NON-BICYCLE IN CYCLE TRCK,150.00,20329,2014-01-23,2024-01-31
PARK NON-BUS-BUS PK ZNE DY/TM,150.00,19290,2014-01-24,2024-01-31
PARK HEAVY (TRUCK/VEH.) TM/DY,90.00,16572,2008-01-01,2024-01-31
PARK VEHICLE OUTSIDE OF SPACE,30.00,15718,2008-01-02,2024-01-31
STOP VEH.RESRVD/DESIG LN TM/DY,150.00,12492,2014-01-23,2024-01-31
PARK-W/O VALID NON-ONT PLATE,40.00,12229,2014-01-23,2024-01-13
STND ONSTRT ACCESSIBLE NOT D/O,450.00,11682,2008-04-25,2024-01-31
STOP - WITHIN 9.0M OF XWALK,60.00,11671,2008-01-01,2017-07-28
PARK IN DESIGNATED FIRE ROUTE,100.00,11255,2008-01-01,2021-12-01
PARK VEH.-COMMERCIAL LOAD ZONE,40.00,10605,2014-01-23,2024-01-31
"PARK-SIGNED HWY-""T"" INTERSECTN",40.00,10006,2008-01-03,2024-01-31
PARK VEHICLE ON ROADWAY,30.00,9552,2008-04-27,2022-10-30
PARK-(FRNT/60 CM) DRWAY/LANEWY,50.00,7861,2008-01-03,2024-01-31
STOP-9 M PEDESTRIAN X BEYOND,60.00,7685,2014-01-23,2024-01-31
STOP-NON-SCHL BUS IN SCHL LDZN,60.00,7597,2008-01-08,2024-01-31
PARK ACCESSIBLE NOT DROP OFF,450.00,5996,2008-04-28,2024-01-31
PARK-30.5M SIGNALIZED INTERSCT,50.00,5931,2008-01-15,2024-01-31
PARK/STOP RGHT WHLS > 30CM CRB,30.00,5927,2008-01-01,2024-01-27
PARK-FAIL TO ACTIVATE MACHINE,30.00,5670,2008-03-07,2024-01-31
STND BUS-SIGNED HWY-PROH DY/TM,300.00,5205,2011-01-20,2023-01-26
STOP-15M PEDESTRIAN X APPROACH,60.00,5194,2014-01-23,2024-01-31
PARK/LEAVE CONTRARY TO SIGN,30.00,4694,2008-01-07,2024-01-31
STAND ON-STRT DISABL NO PERMIT,450.00,4263,2008-04-25,2024-01-30
STND ACCESSIBLE LOAD NOT DRP/O,450.00,3990,2008-04-26,2024-01-31
PARK-SIGNED HWY-15M INTERSECTN,50.00,3933,2008-01-03,2024-01-31
PARK VEHICLE - FOR SALE,15.00,3453,2008-01-02,2024-01-03
PARK-SIGNED HWY-RUSH HOUR,150.00,3435,2014-01-23,2019-07-02
STOP - ON CENTRE STRIP,60.00,3196,2008-01-06,2024-01-31
PARK ON HWY UNDER 6M WIDE,30.00,3159,2008-01-17,2023-01-24
PARK-SIGNED HWY-TURNING BASIN,40.00,3136,2008-02-16,2024-01-30
PARK NOT WITHIN PERMITTED TIME,30.00,2969,2008-01-04,2024-01-02
STOP - IN UNDERPASS,60.00,2870,2008-02-22,2024-01-30
STND ACCESSIBLE LOAD NO PERMIT,450.00,2783,2008-04-28,2024-01-29
STAND IN DISABLED NOT DROP OFF,450.00,2749,2008-04-25,2024-01-31
PARK VEHICLE WHILE NOT IN PARK,100.00,2577,2008-04-02,2023-01-19
STOP-WITHIN (INTERSCTN/PED X),60.00,2295,2008-01-04,2024-01-31
STAND VEHICLE WHERE PROHIBITED,55.00,2278,2008-01-12,2019-07-23
STOP BSD OBSTR RDWY-IMPEDE TRF,60.00,2277,2008-01-02,2022-05-22
STAND TAXI-SIGNED STD-NOT HIRE,60.00,2199,2014-01-23,2024-01-31
PARK UNAUTH VEH IN HDCPD SPACE,150.00,2154,2008-01-01,2017-04-03
PARK-ISSUED CARD NOT DISPLAYED,30.00,2067,2008-01-04,2024-01-29
PARK-15M OF DEAD END STREET,40.00,2009,2008-01-10,2024-01-31
STOP ON CENTRE BOULEVARD,60.00,1963,2008-01-08,2024-01-31
PARK-FEE NOT PD FOR TIME USED,30.00,1957,2008-03-13,2022-05-10
STAND IN ACCESSIBLE NO PERMIT,450.00,1891,2008-04-27,2024-01-28
STOP ADJ TO CENTRE BOULEVARD,60.00,1726,2008-01-05,2024-01-24
PARK BUS PROHIBITED TIME,300.00,1717,2011-01-15,2024-01-06
PARK-30.5M FIRE HALL OPP SIDE,40.00,1646,2008-01-21,2024-01-17
STAND VEH.-SIGNED HWY-RUSH HR,150.00,1594,2014-01-23,2024-01-31
PARK IN DISABLED NO PERMIT,0.00,1512,2008-03-14,2023-01-26
STOP - ON BRIDGE,60.00,1475,2008-02-02,2023-01-27
STOP-ALONGSIDE EXCAV./OBSTR.,60.00,1220,2008-01-01,2024-01-23
PARK MORE THAN 7DAYS NO PERMIT,30.00,1218,2008-01-17,2024-01-30
PARK - ON FRONT YARD,50.00,1208,2008-01-14,2024-01-31
PARK ONSTRT ACCESSIBLE NO PRMT,450.00,1197,2008-05-06,2024-01-29
STAND VEH.-PSGR LD ZN DAY TIME,60.00,1165,2015-08-06,2024-01-28
FAIL PARK/STP NEAR RIGHT LIMIT,30.00,1105,2008-02-06,2024-01-29
PARK TAXI FOR HIRE-UNAUTH LOC,40.00,1060,2014-01-24,2024-01-25
